运行名称,核心数,负载,模拟时间,99%尾延迟,99.9%尾延迟,吞吐量,丢弃时间百分比,分布
sjk_26_16-00-11,16,1,1000000,5499.0,5500.0,2043000.0,10,双峰
sjk_26_16-09-27,9,1,1000000,5499.0,5500.676,2043000.0,10,双峰
sjk_26_16-15-15,9,1,1000000,193356.98,198248.36400000006,8829000.0,10,双峰
sjk_26_16-20-21,9,1,1000000,30820.64,33079.378000000004,8872000.0,10,双峰
sjk_26_16-21-56,9,1,1000000,84708.22000000002,93462.736,8944000.0,10,双峰
sjk_26_16-23-37,9,1,1000000,33663.97,38780.09700000001,9018000.0,10,双峰
sjk_26_16-29-52,9,1,1000000,85524.48,86946.55800000002,8866000.0,10,双峰
sjk_27_16-09-33,9,1,1000000,28478.5,41599.05000000002,9051000.0,10,双峰
sjk_30_21-29-32,9,1,1000000,49071.52,53871.4000000001,8982000.0,10,双峰
sjk_30_21-31-06,9,1,1000000,73509.72999999998,88246.091,8853000.0,10,双峰
sjk_31_22-14-28,9,1,1000000,45002.67999999999,49570.50400000003,8903000.0,10,双峰
sjk_02_20-22-59-own,9,1,1000000,5499.0,5518.549000000002,2043000.0,10,双峰
sjk_02_20-28-08,9,1,1000000,5499.0,5518.549000000002,2043000.0,10,双峰
sjk_02_20-56-41,9,1,1000000,62330.26999999994,69369.25500000009,8902000.0,10,双峰
sjk_02_20-58-32,9,1,1000000,29090.95999999999,44716.418000000216,9091000.0,10,指数
sjk_02_21-12-30,9,1,1000000,36388.65000000001,42520.14400000012,9001000.0,10,双峰
sjk_13_16-56-42,9,1,1000000,395652.5,398624.606,4894128.845065579,10,双峰
sjk_13_16-58-59,9,1,1000000,554431.9600000001,667367.0220000022,7555000.0,10,双峰
sjk_13_17-00-41,9,1,1000000,109318.44,111618.83200000015,8875000.0,10,双峰
sjk_13_17-03-05,9,1,1000000,47720.35,50692.994000000035,9056000.0,10,双峰
sjk_13_17-05-23,9,1,1000000,54914.600000000006,58035.76000000002,8918000.0,10,双峰
sjk_13_17-19-15,9,1,1000000,21835.0,27399.275000000038,8903000.0,10,双峰
sjk_13_17-21-00,9,1,1000000,38553.67999999999,47266.78400000089,9004000.0,10,双峰
sjk_13_17-24-04,9,1,1000000,37466.12,42125.888000000035,8982000.0,10,双峰
sjk_13_18-53-25,9,1,1000000,89005.04,136519.79200000365,8971000.0,10,指数
sjk_13_18-56-29,9,1,1000000,59451.37999999991,96032.6990000001,8814000.0,10,指数
sjk_13_19-03-04,9,1,1000000,63104.340000000004,92444.22100000025,8713000.0,10,指数
sjk_13_19-05-34,9,1,1000000,2555.4799999999996,3790.412000000003,9062000.0,10,指数
sjk_30_00-12-37,9,1,1000000,2524.13,3885.0380000000587,8980000.0,10,指数
