Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time
813,500,500,0,0,0,0,0,0,0
1279,500,500,0,0,0,0,0,34,0
1385,500,500,0,0,0,0,0,378,0
1410,500,500,0,0,0,0,0,475,0
1634,500,500,0,0,0,0,0,251,0
1973,500,500,0,0,0,0,0,362,0
2091,500,500,0,0,0,0,0,382,0
2539,500,500,0,0,0,0,0,384,0
2564,500,500,0,0,0,0,0,475,0
2642,5500,5500,0,0,0,0,0,5147,0
3181,500,500,0,0,0,0,0,308,0
3217,500,500,0,0,0,0,0,464,0
3232,500,500,0,0,0,0,0,449,0
3312,500,500,0,0,0,0,0,369,0
3683,500,500,0,0,0,0,0,448,0
3699,500,500,0,0,0,0,0,484,0
3986,500,500,0,0,0,0,0,197,0
4079,500,500,0,0,0,0,0,104,0
4458,500,500,0,0,0,0,0,175,0
4835,500,500,0,0,0,0,0,123,0
4891,500,500,0,0,0,0,0,67,0
4953,5498,5500,0,0,0,0,0,5147,0
5024,500,500,0,0,0,0,0,384,0
5164,500,500,0,0,0,0,0,360,0
5379,500,500,0,0,0,0,0,145,0
6283,500,500,0,0,0,0,0,141,0
6305,5498,5500,0,0,0,0,0,5150,0
6392,500,500,0,0,0,0,0,391,0
7372,5497,5500,0,0,0,0,0,118,0
7721,500,500,0,0,0,0,0,5151,0
8240,5499,5500,0,0,0,0,0,118,0
8546,500,500,0,0,0,0,0,147,0
8666,500,500,0,0,0,0,0,380,0
8927,500,500,0,0,0,0,0,119,0
9404,500,500,0,0,0,0,0,92,0
9445,500,500,0,0,0,0,0,459,0
9569,5499,5500,0,0,0,0,0,37,0
9585,500,500,0,0,0,0,0,319,0
9714,500,500,0,0,0,0,0,190,0
10932,500,500,0,0,0,0,0,322,0
11404,500,500,0,0,0,0,0,28,0
12259,500,500,0,0,0,0,0,73,0
12312,500,500,0,0,0,0,0,447,0
12721,5499,5500,0,0,0,0,0,0,0
12907,500,500,0,0,0,0,0,302,0
13621,500,500,0,0,0,0,0,236,0
14880,500,500,0,0,0,0,0,141,0
14894,500,500,0,0,0,0,0,486,0
15063,500,500,0,0,0,0,0,317,0
15929,500,500,0,0,0,0,0,351,0
16092,500,500,0,0,0,0,0,337,0
16769,5509,5500,0,0,0,0,0,182,0
16828,5509,5500,0,0,0,0,0,182,0
17045,500,500,0,0,0,0,0,5224,0
17485,5508,5500,0,0,0,0,0,185,0
17661,500,500,0,0,0,0,0,277,0
17876,500,500,0,0,0,0,0,285,0
18071,500,500,0,0,0,0,0,90,0
18447,500,500,0,0,0,0,0,164,0
20497,500,500,0,0,0,0,0,250,0
20885,500,500,0,0,0,0,0,112,0
21054,500,500,0,0,0,0,0,393,0
21182,500,500,0,0,0,0,0,372,0
21296,500,500,0,0,0,0,0,258,0
21356,500,500,0,0,0,0,0,198,0
22399,5499,5500,0,0,0,0,0,4788,0
22421,500,500,0,0,0,0,0,5478,0
22472,5499,5500,0,0,0,0,0,0,0
23110,500,500,0,0,0,0,0,4789,0
24737,500,500,0,0,0,0,0,176,0
25411,500,500,0,0,0,0,0,276,0
26190,500,500,0,0,0,0,0,171,0
27156,500,500,0,0,0,0,0,434,0
27593,5497,5500,0,0,0,0,0,143,0
28135,500,500,0,0,0,0,0,421,0
29520,500,500,0,0,0,0,0,15,0
29868,500,500,0,0,0,0,0,152,0
30047,500,500,0,0,0,0,0,423,0
30214,500,500,0,0,0,0,0,333,0
30334,500,500,0,0,0,0,0,213,0
30342,500,500,0,0,0,0,0,205,0
30382,500,500,0,0,0,0,0,165,0
30403,5501,5500,0,0,0,0,0,0,0
30586,5500,5500,0,0,0,0,0,698,0
30756,500,500,0,0,0,0,0,5330,0
31206,500,500,0,0,0,0,0,4880,0
31473,500,500,0,0,0,0,0,186,0
32329,500,500,0,0,0,0,0,94,0
32452,500,500,0,0,0,0,0,377,0
32762,500,500,0,0,0,0,0,67,0
33929,500,500,0,0,0,0,0,250,0
34145,500,500,0,0,0,0,0,284,0
34359,500,500,0,0,0,0,0,70,0
34733,5499,5500,0,0,0,0,0,4853,0
34905,500,500,0,0,0,0,0,5328,0
35045,500,500,0,0,0,0,0,5188,0
35379,500,500,0,0,0,0,0,4854,0
36425,500,500,0,0,0,0,0,316,0
36781,500,500,0,0,0,0,0,144,0
37180,500,500,0,0,0,0,0,195,0
37280,500,500,0,0,0,0,0,400,0
38002,500,500,0,0,0,0,0,128,0
38736,500,500,0,0,0,0,0,216,0
38895,500,500,0,0,0,0,0,341,0
39515,5497,5500,0,0,0,0,0,357,0
39738,5498,5500,0,0,0,0,0,357,0
40184,500,500,0,0,0,0,0,4831,0
40918,500,500,0,0,0,0,0,169,0
41060,500,500,0,0,0,0,0,358,0
41286,500,500,0,0,0,0,0,132,0
41554,500,500,0,0,0,0,0,314,0
41968,500,500,0,0,0,0,0,86,0
42138,500,500,0,0,0,0,0,366,0
42183,500,500,0,0,0,0,0,455,0
42600,500,500,0,0,0,0,0,38,0
43762,5497,5500,0,0,0,0,0,0,0
43981,500,500,0,0,0,0,0,5281,0
44577,500,500,0,0,0,0,0,4685,0
44679,5497,5500,0,0,0,0,0,240,0
44723,500,500,0,0,0,0,0,5456,0
46745,500,500,0,0,0,0,0,3434,0
47337,500,500,0,0,0,0,0,2841,0
47391,500,500,0,0,0,0,0,399,0
47591,500,500,0,0,0,0,0,300,0
48270,500,500,0,0,0,0,0,71,0
49351,500,500,0,0,0,0,0,319,0
49380,500,500,0,0,0,0,0,471,0
49533,5498,5500,0,0,0,0,0,403,0
49610,500,500,0,0,0,0,0,241,0
49641,500,500,0,0,0,0,0,210,0
50325,500,500,0,0,0,0,0,426,0
50954,500,500,0,0,0,0,0,321,0
51184,500,500,0,0,0,0,0,270,0
51278,5499,5500,0,0,0,0,0,23,0
51365,500,500,0,0,0,0,0,89,0
51486,500,500,0,0,0,0,0,418,0
51582,500,500,0,0,0,0,0,404,0
51991,500,500,0,0,0,0,0,445,0
52694,500,500,0,0,0,0,0,247,0
52703,500,500,0,0,0,0,0,491,0
53349,500,500,0,0,0,0,0,295,0
53466,500,500,0,0,0,0,0,383,0
53891,500,500,0,0,0,0,0,408,0
54161,500,500,0,0,0,0,0,230,0
54294,500,500,0,0,0,0,0,97,0
55154,500,500,0,0,0,0,0,137,0
55484,500,500,0,0,0,0,0,170,0
55912,500,500,0,0,0,0,0,192,0
56002,500,500,0,0,0,0,0,410,0
56144,500,500,0,0,0,0,0,268,0
56388,500,500,0,0,0,0,0,24,0
56423,500,500,0,0,0,0,0,439,0
56467,500,500,0,0,0,0,0,456,0
56994,500,500,0,0,0,0,0,379,0
57619,500,500,0,0,0,0,0,325,0
58814,500,500,0,0,0,0,0,205,0
59426,500,500,0,0,0,0,0,338,0
59852,500,500,0,0,0,0,0,74,0
60813,500,500,0,0,0,0,0,13,0
61955,500,500,0,0,0,0,0,258,0
62006,500,500,0,0,0,0,0,449,0
62196,500,500,0,0,0,0,0,259,0
62260,500,500,0,0,0,0,0,195,0
62299,500,500,0,0,0,0,0,156,0
62937,500,500,0,0,0,0,0,418,0
63082,500,500,0,0,0,0,0,355,0
63102,500,500,0,0,0,0,0,335,0
63369,5499,5500,0,0,0,0,0,455,0
64640,500,500,0,0,0,0,0,147,0
65049,500,500,0,0,0,0,0,91,0
65246,500,500,0,0,0,0,0,344,0
66216,5498,5500,0,0,0,0,0,455,0
66261,500,500,0,0,0,0,0,5455,0
66301,500,500,0,0,0,0,0,5415,0
67178,500,500,0,0,0,0,0,4538,0
67235,500,500,0,0,0,0,0,396,0
67279,500,500,0,0,0,0,0,456,0
67397,500,500,0,0,0,0,0,338,0
67869,5498,5500,0,0,0,0,0,376,0
67899,500,500,0,0,0,0,0,5470,0
68750,500,500,0,0,0,0,0,4619,0
68996,500,500,0,0,0,0,0,207,0
69119,500,500,0,0,0,0,0,377,0
70221,5498,5500,0,0,0,0,0,5230,0
70442,500,500,0,0,0,0,0,5279,0
70523,500,500,0,0,0,0,0,5198,0
72834,500,500,0,0,0,0,0,2887,0
73028,500,500,0,0,0,0,0,259,0
73818,500,500,0,0,0,0,0,160,0
74106,500,500,0,0,0,0,0,212,0
74534,5499,5500,0,0,0,0,0,183,0
74794,500,500,0,0,0,0,0,5240,0
74803,5500,5500,0,0,0,0,0,183,0
74874,500,500,0,0,0,0,0,5160,0
75454,500,500,0,0,0,0,0,4580,0
75985,500,500,0,0,0,0,0,372,0
76694,500,500,0,0,0,0,0,241,0
76745,500,500,0,0,0,0,0,449,0
77010,500,500,0,0,0,0,0,184,0
77503,500,500,0,0,0,0,0,141,0
77558,500,500,0,0,0,0,0,445,0
79195,500,500,0,0,0,0,0,158,0
79235,500,500,0,0,0,0,0,460,0
79806,5498,5500,0,0,0,0,0,3497,0
79919,500,500,0,0,0,0,0,5387,0
80690,500,500,0,0,0,0,0,4616,0
80992,500,500,0,0,0,0,0,151,0
81260,5500,5500,0,0,0,0,0,3497,0
81435,500,500,0,0,0,0,0,57,0
81584,500,500,0,0,0,0,0,358,0
81677,500,500,0,0,0,0,0,407,0
81775,500,500,0,0,0,0,0,309,0
81928,500,500,0,0,0,0,0,156,0
82300,5500,5500,0,0,0,0,0,191,0
82504,500,500,0,0,0,0,0,5296,0
83076,500,500,0,0,0,0,0,4724,0
83255,5502,5500,0,0,0,0,0,188,0
83403,500,500,0,0,0,0,0,5352,0
83641,500,500,0,0,0,0,0,5114,0
83671,5503,5500,0,0,0,0,0,191,0
83714,500,500,0,0,0,0,0,5041,0
84296,500,500,0,0,0,0,0,4459,0
84422,500,500,0,0,0,0,0,3378,0
84476,500,500,0,0,0,0,0,399,0
84900,500,500,0,0,0,0,0,76,0
85798,500,500,0,0,0,0,0,78,0
85835,500,500,0,0,0,0,0,463,0
86120,500,500,0,0,0,0,0,178,0
86715,500,500,0,0,0,0,0,33,0
86715,500,500,0,0,0,1,0,33,0
86781,500,500,0,0,0,0,0,434,0
87017,500,500,0,0,0,0,0,198,0
87026,500,500,0,0,1,2,0,189,0
88185,500,500,0,0,0,0,0,380,0
89526,500,500,0,0,0,0,0,59,0
89865,500,500,0,0,0,0,0,161,0
90199,500,500,0,0,0,0,0,277,0
90226,500,500,0,0,0,0,0,473,0
90303,500,500,0,0,0,0,0,396,0
90383,500,500,0,0,0,0,0,316,0
90708,500,500,0,0,0,0,0,441,0
90803,500,500,0,0,0,0,0,405,0
90915,5499,5500,0,0,0,0,0,118,0
92243,500,500,0,0,0,0,0,315,0
93408,500,500,0,0,0,0,0,235,0
93653,500,500,0,0,0,0,0,255,0
93878,500,500,0,0,0,0,0,30,0
93880,5499,5500,0,0,0,0,0,184,0
94444,5499,5500,0,0,0,0,0,0,0
94975,500,500,0,0,0,0,0,4969,0
95180,500,500,0,0,0,0,0,248,0
95284,500,500,0,0,0,0,0,396,0
95798,500,500,0,0,0,0,0,332,0
95978,500,500,0,0,0,0,0,320,0
96110,500,500,0,0,0,0,0,188,0
96179,500,500,0,0,0,0,0,119,0
96304,500,500,0,0,0,0,0,444,0
96579,500,500,0,0,0,0,0,225,0
97243,500,500,0,0,0,0,0,11,0
98317,5499,5500,0,0,0,0,0,4653,0
98501,500,500,0,0,0,0,0,5316,0
99163,500,500,0,0,0,0,0,4654,0
99489,500,500,0,0,0,0,0,127,0
99715,500,500,0,0,0,0,0,274,0
99916,500,500,0,0,0,0,0,73,0
100191,500,500,0,0,0,0,0,248,0
100361,500,500,0,0,0,0,0,330,0
101367,500,500,0,0,0,0,0,224,0
101818,500,500,0,0,0,0,0,49,0
101871,500,500,0,0,0,0,0,446,0
102536,500,500,0,0,0,0,0,285,0
103226,500,500,0,0,0,0,0,260,0
103680,5498,5500,0,0,0,0,0,382,0
104270,500,500,0,0,0,0,0,356,0
104300,500,500,0,0,0,0,0,470,0
104788,5500,5500,0,0,0,0,0,385,0
105192,500,500,0,0,0,0,0,5096,0
105633,5499,5500,0,0,0,0,0,0,0
105861,5499,5500,0,0,0,0,0,382,0
106518,500,500,0,0,0,0,0,4843,0
107144,500,500,0,0,0,0,0,3144,0
107962,500,500,0,0,0,0,0,3172,0
108090,500,500,0,0,0,0,0,325,0
108204,500,500,0,0,0,0,0,386,0
109220,5499,5500,0,0,0,0,0,354,0
110531,500,500,0,0,0,0,0,4189,0
110720,500,500,0,0,0,0,0,264,0
110755,500,500,0,0,0,0,0,465,0
110995,500,500,0,0,0,0,0,225,0
111317,500,500,0,0,0,0,0,353,0
111539,500,500,0,0,0,0,0,278,0
111955,5498,5500,0,0,0,0,0,378,0
112224,500,500,0,0,0,0,0,5231,0
112231,500,500,0,0,0,0,0,5224,0
112508,500,500,0,0,0,0,0,4947,0
113250,500,500,0,0,0,0,0,161,0
113441,500,500,0,0,0,0,0,309,0
113535,5499,5500,0,0,0,0,0,381,0
113835,500,500,0,0,0,0,0,365,0
114030,500,500,0,0,0,0,0,305,0
114366,500,500,0,0,0,0,0,419,0
114484,500,500,0,0,0,0,0,382,0
114511,500,500,0,0,0,0,0,355,0
114639,5499,5500,0,0,0,0,0,364,0
114944,500,500,0,0,0,0,0,372,0
115791,500,500,0,0,0,0,0,103,0
