Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time
4,-3,50,0,0,0,0,0,45,0
8,-7,50,0,0,0,0,0,46,0
12,-11,50,0,0,0,0,0,45,0
16,10,10,0,0,0,0,0,42,0
20,-19,50,0,0,0,1,0,48,0
24,11,10,0,0,2,3,0,0,0
28,14,10,0,0,2,3,0,47,0
32,13,10,0,0,3,4,0,45,0
36,15,10,0,0,3,4,0,0,0
40,-39,50,0,0,4,5,0,42,0
44,14,10,0,0,3,4,0,8,0
48,-47,50,0,0,4,5,0,4,0
52,15,10,0,0,4,5,0,0,0
56,14,10,0,0,5,6,0,49,0
60,-59,50,0,0,5,6,0,21,0
64,-63,50,0,0,5,6,0,0,0
68,18,10,0,0,6,7,0,0,0
72,-71,50,0,0,6,7,0,6,0
76,-75,50,0,0,7,8,0,6,0
80,16,10,0,0,7,8,0,41,0
84,-83,50,0,0,10,11,0,0,0
88,26,10,0,0,8,9,0,49,0
92,22,10,0,0,9,10,0,47,0
96,27,10,0,0,11,12,0,40,0
100,-99,50,0,0,12,13,0,49,0
104,-103,50,0,0,13,14,0,25,0
108,25,10,0,0,12,13,0,9,0
112,-111,50,0,0,14,15,0,4,0
116,-115,50,0,0,13,14,0,0,0
120,30,10,0,0,14,15,0,0,0
124,34,10,0,0,13,14,0,9,0
128,-127,50,0,0,15,16,0,0,0
132,-131,50,0,0,15,16,0,28,0
136,34,10,0,0,17,18,0,0,0
140,-139,50,0,0,17,18,0,0,0
144,-143,50,0,0,18,19,0,41,0
148,-147,50,0,0,19,20,0,45,0
152,42,10,0,0,18,19,0,0,0
156,-155,50,0,0,19,20,0,3,0
160,42,10,0,0,20,21,0,0,0
164,-163,50,0,0,22,23,0,41,0
168,42,10,0,0,22,23,0,5,0
172,40,10,0,0,21,22,0,0,0
176,42,10,0,0,22,23,0,0,0
180,-179,50,0,0,24,25,0,30,0
184,42,10,0,0,27,28,0,0,0
188,-187,50,0,0,26,27,0,9,0
192,42,10,0,0,27,28,0,5,0
196,46,10,0,0,28,29,0,0,0
200,43,10,0,0,28,29,0,49,0
204,42,10,0,0,27,28,0,43,0
208,-207,50,0,0,28,29,0,8,0
212,42,10,0,0,28,29,0,0,0
216,-215,50,0,0,29,30,0,0,0
220,-219,50,0,0,28,29,0,30,0
224,-223,50,0,0,30,31,0,0,0
228,46,10,0,0,30,31,0,0,0
232,50,10,0,0,32,33,0,0,0
236,-235,50,0,0,31,32,0,49,0
240,-239,50,0,0,31,32,0,0,0
244,48,10,0,0,31,32,0,0,0
248,-247,50,0,0,30,31,0,29,0
252,-251,50,0,0,31,32,0,49,0
256,-255,50,0,0,32,33,0,49,0
260,58,10,0,0,33,34,0,49,0
264,-263,50,0,0,34,35,0,8,0
268,-267,50,0,0,35,36,0,8,0
272,58,10,0,0,37,38,0,0,0
276,63,10,0,0,36,37,0,0,0
280,-279,50,0,0,36,37,0,45,0
284,62,10,0,0,36,37,0,0,0
288,-287,50,0,0,38,39,0,2,0
292,-291,50,0,0,38,39,0,0,0
296,-295,50,0,0,39,40,0,0,0
300,66,10,0,0,40,41,0,44,0
304,66,10,0,0,40,41,0,40,0
308,66,10,0,0,43,44,0,0,0
312,-311,50,0,0,43,44,0,9,0
316,-315,50,0,0,44,45,0,0,0
320,-319,50,0,0,44,45,0,6,0
324,-323,50,0,0,44,45,0,3,0
328,66,10,0,0,46,47,0,42,0
332,72,10,0,0,46,47,0,0,0
336,-335,50,0,0,47,48,0,49,0
340,-339,50,0,0,46,47,0,0,0
344,-343,50,0,0,48,49,0,8,0
348,78,10,0,0,47,48,0,0,0
352,78,10,0,0,48,49,0,0,0
356,78,10,0,0,50,51,0,0,0
360,-359,50,0,0,52,53,0,45,0
364,76,10,0,0,52,53,0,5,0
368,76,10,0,0,51,52,0,0,0
372,-371,50,0,0,51,52,0,0,0
376,78,10,0,0,52,53,0,45,0
380,-379,50,0,0,53,54,0,0,0
384,79,10,0,0,54,55,0,0,0
388,-387,50,0,0,54,55,0,2,0
392,78,10,0,0,56,57,0,0,0
396,83,10,0,0,57,58,0,0,0
400,80,10,0,0,57,58,0,49,0
404,-403,50,0,0,57,58,0,0,0
408,-407,50,0,0,57,58,0,35,0
412,78,10,0,0,59,60,0,0,0
416,-415,50,0,0,61,62,0,35,0
420,80,10,0,0,62,63,0,0,0
424,78,10,0,0,62,63,0,9,0
428,-427,50,0,0,61,62,0,47,0
432,-431,50,0,0,61,62,0,48,0
436,78,10,0,0,61,62,0,5,0
440,-439,50,0,0,62,63,0,49,0
444,82,10,0,0,63,64,0,0,0
448,-447,50,0,0,63,64,0,2,0
452,-451,50,0,0,63,64,0,8,0
456,82,10,0,0,63,64,0,49,0
460,-459,50,0,0,64,65,0,49,0
464,84,10,0,0,65,66,0,40,0
468,86,10,0,0,67,68,0,0,0
472,-471,50,0,0,66,67,0,41,0
476,87,10,0,0,66,67,0,0,0
480,-479,50,0,0,66,67,0,34,0
484,-483,50,0,0,66,67,0,9,0
488,86,10,0,0,68,69,0,43,0
492,-491,50,0,0,68,69,0,36,0
496,88,10,0,0,68,69,0,46,0
500,-499,50,0,0,70,71,0,0,0
504,-503,50,0,0,69,70,0,47,0
508,94,10,0,0,69,70,0,47,0
512,-511,50,0,0,70,71,0,7,0
516,98,10,0,0,72,73,0,0,0
520,-519,50,0,0,72,73,0,6,0
524,98,10,0,0,72,73,0,5,0
528,-527,50,0,0,73,74,0,9,0
532,99,10,0,0,73,74,0,0,0
536,-535,50,0,0,75,76,0,35,0
540,-539,50,0,0,75,76,0,0,0
544,-543,50,0,0,76,77,0,0,0
548,-547,50,0,0,77,78,0,41,0
552,110,10,0,0,78,79,0,0,0
556,114,10,0,0,77,78,0,0,0
560,111,10,0,0,77,78,0,49,0
564,-563,50,0,0,78,79,0,9,0
568,110,10,0,0,78,79,0,41,0
