Arrival Time,Time in System,Request Service Time,Steal Count,Original Queue,Queue Length,Total Queue Length,Queue Checks,Time Left of Task Ahead,Requeue Wait Time
4,11,10,0,0,0,0,0,0,0
8,50,50,0,0,0,0,0,9,0
12,50,50,0,0,0,0,0,6,0
16,10,10,0,0,0,0,0,3099,0
20,50,50,0,0,0,0,0,9,0
24,52,50,0,0,0,0,0,5,0
28,80,50,0,0,0,0,0,49,0
32,40,10,0,0,0,1,0,47,0
36,44,10,0,0,1,2,0,43,0
40,-39,50,0,0,2,3,0,39,0
44,-43,50,0,0,3,4,0,35,0
48,42,10,0,0,4,5,0,31,0
52,-51,50,0,0,5,6,0,27,0
56,-55,10,0,0,6,7,0,23,0
60,-59,50,0,0,6,7,0,17,0
64,-63,50,0,0,6,7,0,13,0
68,-67,10,0,0,7,8,0,11,0
72,-71,50,0,0,7,8,0,4,0
76,-75,50,0,0,7,8,0,0,0
80,-79,50,0,0,7,8,0,46,0
84,-83,10,0,0,7,8,0,45,0
88,-87,10,0,0,8,9,0,41,0
92,-91,50,0,0,8,9,0,35,0
96,-95,50,0,0,9,10,0,33,0
