Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,99998141,52870751,0,47221890,0,0,0,0,0,0,0,0,0
1,99998141,40267787,0,59791251,0,0,0,0,0,0,0,0,0
2,99998141,33429989,0,66615906,0,0,0,0,0,0,0,0,0
3,99998141,20991597,0,79037432,0,0,0,0,0,0,0,0,0
4,99998141,15528424,0,84493578,0,0,0,0,0,0,0,0,0
5,99998141,10770126,0,89244575,0,0,0,0,0,0,0,0,0
6,99998141,7553959,0,92456393,0,0,0,0,0,0,0,0,0
7,99998141,5237397,0,94769147,0,0,0,0,0,0,0,0,0
8,99998141,3786910,0,96217624,0,0,0,0,0,0,0,0,0
9,99998141,2706444,0,97296178,0,0,0,0,0,0,0,0,0
10,99998141,2061454,0,97940027,0,0,0,0,0,0,0,0,0
11,99998141,1448569,0,98551962,0,0,0,0,0,0,0,0,0
12,99998141,1037126,0,98962726,0,0,0,0,0,0,0,0,0
13,99998141,753920,0,99245476,0,0,0,0,0,0,0,0,0
14,99998141,520105,0,99478926,0,0,0,0,0,0,0,0,0
15,99998141,424931,0,99573836,0,0,0,0,0,0,0,0,0
16,99998141,267970,0,99730619,0,0,0,0,0,0,0,0,0
17,99998141,177858,0,99820589,0,0,0,0,0,0,0,0,0
18,99998141,144520,0,99853839,0,0,0,0,0,0,0,0,0
19,99998141,96876,0,99901425,0,0,0,0,0,0,0,0,0
20,99998141,63475,0,99934775,0,0,0,0,0,0,0,0,0
21,99998141,45229,0,99952983,0,0,0,0,0,0,0,0,0
22,99998141,25474,0,99972719,0,0,0,0,0,0,0,0,0
23,99998141,9997,0,99988176,0,0,0,0,0,0,0,0,0
24,99998141,14852,0,99983315,0,0,0,0,0,0,0,0,0
25,99998141,15730,0,99982431,0,0,0,0,0,0,0,0,0
26,99998141,8235,0,99989919,0,0,0,0,0,0,0,0,0
27,99998141,6504,0,99991645,0,0,0,0,0,0,0,0,0
28,99998141,2381,0,99995766,0,0,0,0,0,0,0,0,0
29,99998141,4524,0,99993622,0,0,0,0,0,0,0,0,0
30,99998141,1704,0,99996441,0,0,0,0,0,0,0,0,0
31,99998141,381,0,99997762,0,0,0,0,0,0,0,0,0
