Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,99998141,51680668,0,48414009,0,0,0,0,0,0,0,0,0
1,99998141,35758005,0,64300247,0,0,0,0,0,0,0,0,0
2,99998141,28447481,0,71588516,0,0,0,0,0,0,0,0,0
3,99998141,20271073,0,79749923,0,0,0,0,0,0,0,0,0
4,99998141,17477317,0,82535884,0,0,0,0,0,0,0,0,0
5,99998141,12133614,0,87874221,0,0,0,0,0,0,0,0,0
6,99998141,7909939,0,92095027,0,0,0,0,0,0,0,0,0
7,99998141,5275672,0,94727373,0,0,0,0,0,0,0,0,0
8,99998141,3781822,0,96220258,0,0,0,0,0,0,0,0,0
9,99998141,3008240,0,96993197,0,0,0,0,0,0,0,0,0
10,99998141,2289132,0,97711899,0,0,0,0,0,0,0,0,0
11,99998141,1865952,0,98134709,0,0,0,0,0,0,0,0,0
12,99998141,1507029,0,98493372,0,0,0,0,0,0,0,0,0
13,99998141,1404132,0,98596007,0,0,0,0,0,0,0,0,0
14,99998141,1211415,0,98788521,0,0,0,0,0,0,0,0,0
15,99998141,1054402,0,98945319,0,0,0,0,0,0,0,0,0
16,99998141,849440,0,99150101,0,0,0,0,0,0,0,0,0
17,99998141,728305,0,99271063,0,0,0,0,0,0,0,0,0
18,99998141,668952,0,99330275,0,0,0,0,0,0,0,0,0
19,99998141,514568,0,99484522,0,0,0,0,0,0,0,0,0
20,99998141,412023,0,99586927,0,0,0,0,0,0,0,0,0
21,99998141,375835,0,99623016,0,0,0,0,0,0,0,0,0
22,99998141,319475,0,99679288,0,0,0,0,0,0,0,0,0
23,99998141,278849,0,99719821,0,0,0,0,0,0,0,0,0
24,99998141,245714,0,99752884,0,0,0,0,0,0,0,0,0
25,99998141,195079,0,99803444,0,0,0,0,0,0,0,0,0
26,99998141,151059,0,99847399,0,0,0,0,0,0,0,0,0
27,99998141,117895,0,99880508,0,0,0,0,0,0,0,0,0
28,99998141,100290,0,99898075,0,0,0,0,0,0,0,0,0
29,99998141,72550,0,99925776,0,0,0,0,0,0,0,0,0
30,99998141,74655,0,99923638,0,0,0,0,0,0,0,0,0
31,99998141,63666,0,99934600,0,0,0,0,0,0,0,0,0
